,speciality,f_zip_code,count
0,Cardiovascular Disease,00018,5.0
1,Cardiovascular Disease,00601,2.0
2,Cardiovascular Disease,00603,16.0
3,Cardiovascular Disease,00610,1.0
4,Cardiovascular Disease,00612,48.0
5,Cardiovascular Disease,00614,4.0
6,Cardiovascular Disease,00623,6.0
7,Cardiovascular Disease,00624,1.0
8,Cardiovascular Disease,00637,1.0
9,Cardiovascular Disease,00646,2.0
10,Cardiovascular Disease,00659,13.0
11,Cardiovascular Disease,00668,16.0
12,Cardiovascular Disease,00674,76.0
13,Cardiovascular Disease,00676,6.0
14,Cardiovascular Disease,00680,102.0
15,Cardiovascular Disease,00681,9.0
16,Cardiovascular Disease,00682,4.0
17,Cardiovascular Disease,00683,32.0
18,Cardiovascular Disease,00685,1.0
19,Cardiovascular Disease,00692,5.0
20,Cardiovascular Disease,00705,19.0
21,Cardiovascular Disease,00714,8.0
22,Cardiovascular Disease,00716,61.0
23,Cardiovascular Disease,00717,45.0
24,Cardiovascular Disease,00725,92.0
25,Cardiovascular Disease,00726,34.0
26,Cardiovascular Disease,00727,6.0
27,Cardiovascular Disease,00731,12.0
28,Cardiovascular Disease,00732,2.0
29,Cardiovascular Disease,00733,2.0
30,Cardiovascular Disease,00736,15.0
31,Cardiovascular Disease,00737,3.0
32,Cardiovascular Disease,00738,14.0
33,Cardiovascular Disease,00745,12.0
34,Cardiovascular Disease,00754,2.0
35,Cardiovascular Disease,00767,1.0
36,Cardiovascular Disease,00769,7.0
37,Cardiovascular Disease,00771,5.0
38,Cardiovascular Disease,00777,1.0
39,Cardiovascular Disease,00778,5.0
40,Cardiovascular Disease,00780,5.0
41,Cardiovascular Disease,00784,11.0
42,Cardiovascular Disease,00785,3.0
43,Cardiovascular Disease,00791,34.0
44,Cardiovascular Disease,00795,4.0
45,Cardiovascular Disease,00901,4.0
46,Cardiovascular Disease,00907,91.0
47,Cardiovascular Disease,00909,55.0
48,Cardiovascular Disease,00910,11.0
49,Cardiovascular Disease,00912,5.0
50,Cardiovascular Disease,00913,7.0
51,Cardiovascular Disease,00917,192.0
52,Cardiovascular Disease,00918,75.0
53,Cardiovascular Disease,00919,21.0
54,Cardiovascular Disease,00920,4.0
55,Cardiovascular Disease,00921,37.0
56,Cardiovascular Disease,00922,7.0
57,Cardiovascular Disease,00923,110.0
58,Cardiovascular Disease,00924,40.0
59,Cardiovascular Disease,00926,75.0
