,speciality,f_zip_code,median_payment
0,Cardiovascular Disease,00018,13.56
1,Cardiovascular Disease,00601,50.77
2,Cardiovascular Disease,00603,20.83
3,Cardiovascular Disease,00610,14.91
4,Cardiovascular Disease,00612,22.405
5,Cardiovascular Disease,00614,12.855
6,Cardiovascular Disease,00623,30.835
7,Cardiovascular Disease,00624,110.15
8,Cardiovascular Disease,00637,66.99
9,Cardiovascular Disease,00646,32.27
10,Cardiovascular Disease,00659,20.04
11,Cardiovascular Disease,00668,45.24
12,Cardiovascular Disease,00674,99.0
13,Cardiovascular Disease,00676,74.13
14,Cardiovascular Disease,00680,42.09
15,Cardiovascular Disease,00681,28.87
16,Cardiovascular Disease,00682,55.12
17,Cardiovascular Disease,00683,22.335
18,Cardiovascular Disease,00685,22.75
19,Cardiovascular Disease,00692,21.63
20,Cardiovascular Disease,00705,94.44
21,Cardiovascular Disease,00714,24.305
22,Cardiovascular Disease,00716,25.0
23,Cardiovascular Disease,00717,39.16
24,Cardiovascular Disease,00725,64.89
25,Cardiovascular Disease,00726,25.07
26,Cardiovascular Disease,00727,18.33
27,Cardiovascular Disease,00731,19.645
28,Cardiovascular Disease,00732,31.66
29,Cardiovascular Disease,00733,42.275
30,Cardiovascular Disease,00736,26.57
31,Cardiovascular Disease,00737,15.88
32,Cardiovascular Disease,00738,19.07
33,Cardiovascular Disease,00745,14.82
34,Cardiovascular Disease,00754,39.905
35,Cardiovascular Disease,00767,11.9
36,Cardiovascular Disease,00769,25.82
37,Cardiovascular Disease,00771,21.31
38,Cardiovascular Disease,00777,26.11
39,Cardiovascular Disease,00778,15.99
40,Cardiovascular Disease,00780,99.0
41,Cardiovascular Disease,00784,61.29
42,Cardiovascular Disease,00785,16.24
43,Cardiovascular Disease,00791,82.47
44,Cardiovascular Disease,00795,19.115
45,Cardiovascular Disease,00901,54.25
46,Cardiovascular Disease,00907,22.22
47,Cardiovascular Disease,00909,26.75
48,Cardiovascular Disease,00910,23.1
49,Cardiovascular Disease,00912,20.67
50,Cardiovascular Disease,00913,20.54
51,Cardiovascular Disease,00917,17.84
52,Cardiovascular Disease,00918,22.5
53,Cardiovascular Disease,00919,76.12
54,Cardiovascular Disease,00920,25.7
55,Cardiovascular Disease,00921,20.14
56,Cardiovascular Disease,00922,23.76
57,Cardiovascular Disease,00923,17.845
58,Cardiovascular Disease,00924,21.935
59,Cardiovascular Disease,00926,19.2
60,Cardiovascular Disease,00927,16.42
61,Cardiovascular Disease,00935,15.79
62,Cardiovascular Disease,00936,31.19
63,Cardiovascular Disease,00949,37.59
64,Cardiovascular Disease,00950,27.65
65,Cardiovascular Disease,00953,100.0
66,Cardiovascular Disease,00956,16.59
67,Cardiovascular Disease,00957,46.0
68,Cardiovascular Disease,00959,20.185
69,Cardiovascular Disease,00960,16.73
70,Cardiovascular Disease,00961,44.07
71,Cardiovascular Disease,00965,20.96
72,Cardiovascular Disease,00966,90.54
73,Cardiovascular Disease,00968,21.885
74,Cardiovascular Disease,00969,19.25
75,Cardiovascular Disease,00970,17.85
76,Cardiovascular Disease,00971,13.87
77,Cardiovascular Disease,00973,19.33
78,Cardiovascular Disease,00978,24.64
79,Cardiovascular Disease,00979,20.54
80,Cardiovascular Disease,00983,16.69
81,Cardiovascular Disease,00984,29.17
82,Cardiovascular Disease,00988,115.92
83,Cardiovascular Disease,01002,28.69
84,Cardiovascular Disease,01020,94.51
85,Cardiovascular Disease,01040,12.66
86,Cardiovascular Disease,01060,20.56
87,Cardiovascular Disease,01082,18.45
88,Cardiovascular Disease,01085,38.705
89,Cardiovascular Disease,01104,16.76
90,Cardiovascular Disease,01107,13.01
91,Cardiovascular Disease,01199,101.125
92,Cardiovascular Disease,01201,18.505
93,Cardiovascular Disease,01293,106.52
94,Cardiovascular Disease,01301,14.91
95,Cardiovascular Disease,01432,15.27
96,Cardiovascular Disease,01440,15.25
97,Cardiovascular Disease,01451,15.85
98,Cardiovascular Disease,01501,10.49
99,Cardiovascular Disease,01545,12.98
100,Cardiovascular Disease,01568,19.57
101,Cardiovascular Disease,01570,14.21
102,Cardiovascular Disease,01604,17.455
103,Cardiovascular Disease,01605,13.65
104,Cardiovascular Disease,01608,16.0
105,Cardiovascular Disease,01609,12.535
106,Cardiovascular Disease,01615,173.215
107,Cardiovascular Disease,01655,22.585
108,Cardiovascular Disease,01702,17.74
109,Cardiovascular Disease,01742,21.32
110,Cardiovascular Disease,01757,69.95
111,Cardiovascular Disease,01760,46.965
112,Cardiovascular Disease,01772,12.745
113,Cardiovascular Disease,01776,12.39
114,Cardiovascular Disease,01801,16.56
115,Cardiovascular Disease,01805,18.93
116,Cardiovascular Disease,01824,16.86
117,Cardiovascular Disease,01830,15.61
118,Cardiovascular Disease,01841,16.05
119,Cardiovascular Disease,01844,14.5
120,Cardiovascular Disease,01845,16.33
121,Cardiovascular Disease,01852,23.17
122,Cardiovascular Disease,01854,16.66
123,Cardiovascular Disease,01863,16.49
124,Cardiovascular Disease,01864,16.12
125,Cardiovascular Disease,01867,18.68
126,Cardiovascular Disease,01876,18.13
127,Cardiovascular Disease,01880,47.095
128,Cardiovascular Disease,01890,15.32
129,Cardiovascular Disease,01915,19.83
130,Cardiovascular Disease,01930,15.885
131,Cardiovascular Disease,01950,15.01
132,Cardiovascular Disease,01970,20.0
133,Cardiovascular Disease,02052,119.04
134,Cardiovascular Disease,02062,26.115
135,Cardiovascular Disease,02067,18.435
136,Cardiovascular Disease,02072,11.91
137,Cardiovascular Disease,02081,14.59
138,Cardiovascular Disease,02090,10.15
139,Cardiovascular Disease,02093,15.46
140,Cardiovascular Disease,02111,68.14
141,Cardiovascular Disease,02114,118.7
142,Cardiovascular Disease,02115,130.0
143,Cardiovascular Disease,02116,182.475
144,Cardiovascular Disease,02118,17.35
145,Cardiovascular Disease,02120,91.15
146,Cardiovascular Disease,02124,17.495
147,Cardiovascular Disease,02125,12.575
148,Cardiovascular Disease,02129,12.03
149,Cardiovascular Disease,02130,144.95
150,Cardiovascular Disease,02132,17.83
151,Cardiovascular Disease,02135,87.965
152,Cardiovascular Disease,02138,15.64
153,Cardiovascular Disease,02139,16.065
154,Cardiovascular Disease,02140,365.78
155,Cardiovascular Disease,02143,12.55
156,Cardiovascular Disease,02149,21.98
157,Cardiovascular Disease,02155,2.805
158,Cardiovascular Disease,02176,15.04
159,Cardiovascular Disease,02180,15.565
