,speciality,Recipient_Zip_Code,median_payment
0,Cardiovascular Disease,18,14.76
1,Cardiovascular Disease,603,24.33
2,Cardiovascular Disease,612,18.66
3,Cardiovascular Disease,613,19.5
4,Cardiovascular Disease,614,16.08
5,Cardiovascular Disease,623,18.39
6,Cardiovascular Disease,674,148.375
7,Cardiovascular Disease,680,17.29
8,Cardiovascular Disease,681,21.17
9,Cardiovascular Disease,683,21.8
10,Cardiovascular Disease,692,21.4
11,Cardiovascular Disease,714,11.9
12,Cardiovascular Disease,716,15.24
13,Cardiovascular Disease,717,21.21
14,Cardiovascular Disease,725,50.55
15,Cardiovascular Disease,726,21.04
16,Cardiovascular Disease,727,15.035
17,Cardiovascular Disease,730,15.21
18,Cardiovascular Disease,736,21.185
19,Cardiovascular Disease,738,17.37
20,Cardiovascular Disease,745,19.07
21,Cardiovascular Disease,769,10.0
22,Cardiovascular Disease,771,25.0
23,Cardiovascular Disease,777,22.95
24,Cardiovascular Disease,778,54.35
25,Cardiovascular Disease,780,25.6
26,Cardiovascular Disease,784,77.0
27,Cardiovascular Disease,785,14.16
28,Cardiovascular Disease,791,55.375
29,Cardiovascular Disease,794,10.52
30,Cardiovascular Disease,907,20.0
31,Cardiovascular Disease,909,55.86
32,Cardiovascular Disease,910,25.0
33,Cardiovascular Disease,912,74.35
34,Cardiovascular Disease,913,18.0
35,Cardiovascular Disease,917,18.0
36,Cardiovascular Disease,918,22.0
37,Cardiovascular Disease,919,20.0
38,Cardiovascular Disease,920,100.0
39,Cardiovascular Disease,921,16.01
40,Cardiovascular Disease,922,59.69
41,Cardiovascular Disease,923,21.22
42,Cardiovascular Disease,924,20.05
43,Cardiovascular Disease,926,19.96
44,Cardiovascular Disease,927,14.91
45,Cardiovascular Disease,935,13.64
46,Cardiovascular Disease,936,197.53
47,Cardiovascular Disease,956,17.385
48,Cardiovascular Disease,958,62.26
49,Cardiovascular Disease,959,15.475
50,Cardiovascular Disease,960,21.295
51,Cardiovascular Disease,961,24.82
52,Cardiovascular Disease,966,100.0
53,Cardiovascular Disease,969,20.66
54,Cardiovascular Disease,970,14.92
55,Cardiovascular Disease,979,3.2
56,Cardiovascular Disease,982,18.0
57,Cardiovascular Disease,983,15.43
58,Cardiovascular Disease,984,11.9
59,Cardiovascular Disease,988.0,257.81
60,Cardiovascular Disease,1020,53.67
61,Cardiovascular Disease,1040,14.48
62,Cardiovascular Disease,1056,15.71
63,Cardiovascular Disease,1082,13.06
64,Cardiovascular Disease,1085,11.22
65,Cardiovascular Disease,1104,86.17
66,Cardiovascular Disease,1107,11.48
67,Cardiovascular Disease,1199,19.31
68,Cardiovascular Disease,1201,13.7
69,Cardiovascular Disease,1432,13.35
70,Cardiovascular Disease,1440,19.95
71,Cardiovascular Disease,1545,13.84
72,Cardiovascular Disease,1568,26.75
73,Cardiovascular Disease,1570,14.77
74,Cardiovascular Disease,1604,12.875
75,Cardiovascular Disease,1605,14.81
76,Cardiovascular Disease,1608,11.795
77,Cardiovascular Disease,1655,14.98
78,Cardiovascular Disease,1702,15.12
79,Cardiovascular Disease,1742,27.085
80,Cardiovascular Disease,1752,44.21
81,Cardiovascular Disease,1801,15.245
82,Cardiovascular Disease,1805,14.1
83,Cardiovascular Disease,1824,14.27
84,Cardiovascular Disease,1830,17.35
85,Cardiovascular Disease,1841,12.645
86,Cardiovascular Disease,1844,17.47
87,Cardiovascular Disease,1845,22.89
88,Cardiovascular Disease,1852,15.245
89,Cardiovascular Disease,1854,15.295
90,Cardiovascular Disease,1863,21.335
91,Cardiovascular Disease,1864,16.54
92,Cardiovascular Disease,1867,14.395
93,Cardiovascular Disease,1930,19.855
94,Cardiovascular Disease,1950,10.845
95,Cardiovascular Disease,2035,12.18
96,Cardiovascular Disease,2062,21.5
97,Cardiovascular Disease,2093,21.5
98,Cardiovascular Disease,2111,15.8
99,Cardiovascular Disease,2114,41.825
100,Cardiovascular Disease,2115,70.91
101,Cardiovascular Disease,2118,14.9
102,Cardiovascular Disease,2120,294.31
103,Cardiovascular Disease,2124,367.0
104,Cardiovascular Disease,2125.0,10.84
105,Cardiovascular Disease,2135,16.4
106,Cardiovascular Disease,2138,16.92
107,Cardiovascular Disease,2139,19.745
108,Cardiovascular Disease,2169,10.17
109,Cardiovascular Disease,2176,17.955
110,Cardiovascular Disease,2180,15.53
111,Cardiovascular Disease,2184,13.63
112,Cardiovascular Disease,2186,14.43
113,Cardiovascular Disease,2190,14.99
114,Cardiovascular Disease,2215,15.09
115,Cardiovascular Disease,2241,13.88
116,Cardiovascular Disease,2301,20.24
117,Cardiovascular Disease,2302,13.115
118,Cardiovascular Disease,2356,23.55
119,Cardiovascular Disease,2360,24.24
120,Cardiovascular Disease,2379,15.93
121,Cardiovascular Disease,2445,1500.0
122,Cardiovascular Disease,2446,90.895
123,Cardiovascular Disease,2459,13.82
124,Cardiovascular Disease,2464,116.15
125,Cardiovascular Disease,2466,10.17
126,Cardiovascular Disease,2472,25.64
127,Cardiovascular Disease,2481,2125.0
128,Cardiovascular Disease,2492,36.12
129,Cardiovascular Disease,2537,81.045
130,Cardiovascular Disease,2571,42.01
131,Cardiovascular Disease,2601,21.53
132,Cardiovascular Disease,2719,12.23
133,Cardiovascular Disease,2720,16.66
134,Cardiovascular Disease,2721,18.615
135,Cardiovascular Disease,2740,13.51
136,Cardiovascular Disease,2747,18.47
137,Cardiovascular Disease,2818,50.94
138,Cardiovascular Disease,2840,0.06
139,Cardiovascular Disease,2842,13.86
140,Cardiovascular Disease,2860,12.515
141,Cardiovascular Disease,2885,21.06
142,Cardiovascular Disease,2886,13.49
143,Cardiovascular Disease,2891,11.51
144,Cardiovascular Disease,2895,11.78
145,Cardiovascular Disease,2903,13.68
146,Cardiovascular Disease,2904,14.34
147,Cardiovascular Disease,2905,88.38
148,Cardiovascular Disease,2906,13.31
149,Cardiovascular Disease,2919,7.03
150,Cardiovascular Disease,2920,12.43
151,Cardiovascular Disease,2940,450.0
152,Cardiovascular Disease,3060,1255.865
153,Cardiovascular Disease,3102,17.94
154,Cardiovascular Disease,3103,11.08
155,Cardiovascular Disease,3301,13.04
156,Cardiovascular Disease,3570,12.12
157,Cardiovascular Disease,3756,9.01
158,Cardiovascular Disease,3801,16.295
159,Cardiovascular Disease,3820,13.19
160,Cardiovascular Disease,3867,15.79
161,Cardiovascular Disease,3878,14.87
162,Cardiovascular Disease,3909,12.1
163,Cardiovascular Disease,4074,11.92
164,Cardiovascular Disease,4092,12.59
165,Cardiovascular Disease,4101,18.8
166,Cardiovascular Disease,4102,12.93
167,Cardiovascular Disease,4106.0,10.31
168,Cardiovascular Disease,4210,12.935
169,Cardiovascular Disease,4240,21.84
170,Cardiovascular Disease,4330,10.31
171,Cardiovascular Disease,4401,17.23
172,Cardiovascular Disease,4736,10.61
173,Cardiovascular Disease,4901,10.8
174,Cardiovascular Disease,4938,63.06
175,Cardiovascular Disease,5401,146.29
176,Cardiovascular Disease,5403,25.18
177,Cardiovascular Disease,5468,12.91
178,Cardiovascular Disease,5701,17.0
179,Cardiovascular Disease,6001,11.48
180,Cardiovascular Disease,6002,15.21
181,Cardiovascular Disease,6010,1.47
182,Cardiovascular Disease,6030,10.75
183,Cardiovascular Disease,6032,12.245
184,Cardiovascular Disease,6033,19.29
185,Cardiovascular Disease,6040,14.705
186,Cardiovascular Disease,6042,24.4
187,Cardiovascular Disease,6051,13.375
188,Cardiovascular Disease,6052,13.94
189,Cardiovascular Disease,6053,15.0
190,Cardiovascular Disease,6066,12.4
191,Cardiovascular Disease,6074,10.705
192,Cardiovascular Disease,6082,14.27
193,Cardiovascular Disease,6095,56.51
194,Cardiovascular Disease,6102,14.895
195,Cardiovascular Disease,6103,5.41
196,Cardiovascular Disease,6105,13.525
197,Cardiovascular Disease,6106,12.18
198,Cardiovascular Disease,6107,14.385
199,Cardiovascular Disease,6109,15.135
200,Cardiovascular Disease,6112,15.67
201,Cardiovascular Disease,6117,16.08
202,Cardiovascular Disease,6226,10.7
203,Cardiovascular Disease,6320,12.35
204,Cardiovascular Disease,6355,12.51
205,Cardiovascular Disease,6360,14.09
206,Cardiovascular Disease,6385,24.82
207,Cardiovascular Disease,6405,14.45
208,Cardiovascular Disease,6410,12.07
209,Cardiovascular Disease,6418,11.95
210,Cardiovascular Disease,6451,13.17
211,Cardiovascular Disease,6457,12.96
212,Cardiovascular Disease,6460,1695.0
213,Cardiovascular Disease,6473,110.0
214,Cardiovascular Disease,6477,77.84
215,Cardiovascular Disease,6484,10.16
216,Cardiovascular Disease,6488,15.99
217,Cardiovascular Disease,6489,47.35
218,Cardiovascular Disease,6492,12.07
219,Cardiovascular Disease,6510,12.07
220,Cardiovascular Disease,6511,14.93
221,Cardiovascular Disease,6512,512.74
222,Cardiovascular Disease,6514,13.725
223,Cardiovascular Disease,6516,100.79
224,Cardiovascular Disease,6517,15.22
225,Cardiovascular Disease,6518,12.39
226,Cardiovascular Disease,6519,21.22
227,Cardiovascular Disease,6606,12.125
